name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,LastExonStart,LastExonEnd,Group
OR4F5,chr1,+,69090,70008,69090,70008,1,69090,70008,1
AL627309.1,chr1,-,134900,139379,138529,139309,2,134900,135802,3
OR4F29,chr1,+,367639,368634,367658,368597,1,367639,368634,1
OR4F16,chr1,-,621058,622053,621095,622034,1,621058,622053,1
AL669831.1,chr1,-,738531,739137,738531,739137,3,738531,738618,2
AL645608.2,chr1,+,818042,819983,818042,819983,3,819960,819983,2
SAMD11,chr1,+,861117,879955,861321,879533,14,879287,879955,2
AL645608.1,chr1,-,861263,866445,861263,866445,6,861263,861406,2
NOC2L,chr1,-,879583,894670,880073,894620,19,879583,880180,2
KLHL17,chr1,+,895966,901095,896073,900571,12,900342,901095,2
PLEKHN1,chr1,+,901876,910488,901911,909955,16,909821,910488,2
HES4,chr1,-,934341,935552,934438,935353,3,934341,934812,2
ISG15,chr1,+,948802,949920,948953,949858,2,949363,949920,2
AGRN,chr1,+,955502,991496,955552,990361,36,990203,991496,2
RNF223,chr1,-,1006345,1009687,1007196,1007946,2,1006345,1007955,2
C1orf159,chr1,-,1017202,1051478,1018272,1026923,10,1017202,1018367,2
TTLL10,chr1,+,1109285,1133313,1114595,1133227,16,1132817,1133313,2
TNFRSF18,chr1,-,1138890,1142071,1139223,1141951,5,1138890,1139348,2
TNFRSF4,chr1,-,1146705,1149512,1146934,1149507,7,1146705,1147005,2
SDF4,chr1,-,1152310,1167411,1153049,1164173,7,1152310,1153184,2
B3GALT6,chr1,+,1167628,1170421,1167658,1168648,1,1167628,1170421,1
FAM132A,chr1,-,1177832,1182102,1177927,1182070,8,1177832,1178026,2
UBE2J2,chr1,-,1189293,1209234,1190582,1198741,7,1189293,1190867,2
SCNN1D,chr1,+,1215815,1227399,1216041,1226990,18,1226633,1227399,2
ACAP3,chr1,-,1227755,1243398,1228943,1243195,24,1227755,1229088,2
PUSL1,chr1,+,1243946,1247057,1244023,1246759,8,1246709,1247057,2
CPSF3L,chr1,-,1246976,1260071,1247238,1259988,17,1246976,1247304,2
GLTPD1,chr1,+,1260146,1264277,1262290,1263143,3,1262620,1264277,2
TAS1R3,chr1,+,1266693,1270686,1266725,1269844,6,1268885,1270686,2
DVL1,chr1,-,1270655,1284492,1271521,1284445,15,1270655,1271895,2
MXRA8,chr1,-,1288071,1297157,1288983,1296643,10,1288071,1289009,2
AURKAIP1,chr1,-,1309109,1310875,1309180,1310136,4,1309109,1309282,2
CCNL2,chr1,-,1321874,1334692,1322610,1334686,11,1321874,1322962,2
RP4-758J18.2,chr1,+,1334906,1337426,1334931,1335670,3,1335984,1337426,3
MRPL20,chr1,-,1337287,1342693,1337462,1342597,4,1337287,1337636,2
ANKRD65,chr1,-,1353799,1356824,1354921,1356385,3,1353799,1354929,2
TMEM88B,chr1,+,1361507,1363167,1361507,1363167,2,1362933,1363167,2
VWA1,chr1,+,1370902,1378262,1374465,1375167,3,1374460,1378262,2
ATAD3C,chr1,+,1385068,1405538,1386063,1403910,12,1403763,1405538,2
ATAD3B,chr1,+,1407148,1431582,1407264,1431197,16,1430864,1431582,2
ATAD3A,chr1,+,1447530,1470065,1447648,1469452,16,1469305,1470065,2
TMEM240,chr1,-,1470553,1475737,1470738,1475726,4,1470553,1470887,2
SSU72,chr1,-,1477052,1510249,1477445,1509937,5,1477052,1477547,2
AL645728.1,chr1,+,1510354,1511373,1510356,1510659,1,1510354,1511373,1
C1orf233,chr1,-,1533391,1535476,1534714,1535395,1,1533391,1535476,1
MIB2,chr1,+,1550794,1565990,1551010,1565910,20,1565671,1565990,2
MMP23B,chr1,+,1567557,1570030,1567597,1569922,7,1569826,1570030,2
CDK11B,chr1,-,1571099,1588935,1571125,1588935,20,1571099,1571218,2
SLC35E2B,chr1,-,1592939,1624167,1597220,1608138,9,1592939,1597458,2
CDK11A,chr1,-,1634319,1655763,1634345,1654257,20,1634319,1634438,2
SLC35E2,chr1,-,1656276,1677358,1656852,1670996,7,1656276,1656861,2
NADK,chr1,-,1682670,1711508,1684342,1696845,14,1682670,1684499,2
GNB1,chr1,-,1716728,1822495,1718769,1756892,12,1716728,1718492,3
