name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,LastExonStart,LastExonEnd,StopCodon
AL645608.2,chr1,+,818042,819983,818042,819983,819960,819983,TGA
SAMD11,chr1,+,861117,879955,861321,879533,879287,879955,TGA
KLHL17,chr1,+,895966,901095,896073,900571,900342,901095,TGA
PLEKHN1,chr1,+,901876,910488,901911,909955,909821,910488,TGA
AGRN,chr1,+,955502,991496,955552,990361,990203,991496,TGA
B3GALT6,chr1,+,1167628,1170421,1167658,1168648,1167628,1170421,TGA
SCNN1D,chr1,+,1215815,1227399,1216041,1226990,1226633,1227399,TGA
PUSL1,chr1,+,1243946,1247057,1244023,1246759,1246709,1247057,TGA
TAS1R3,chr1,+,1266693,1270686,1266725,1269844,1268885,1270686,TGA
TMEM88B,chr1,+,1361507,1363167,1361507,1363167,1362933,1363167,TGA
ATAD3C,chr1,+,1385068,1405538,1386063,1403910,1403763,1405538,TGA
ATAD3A,chr1,+,1447530,1470065,1447648,1469452,1469305,1470065,TGA
MIB2,chr1,+,1550794,1565990,1551010,1565910,1565671,1565990,TGA
MMP23B,chr1,+,1567557,1570030,1567597,1569922,1569826,1570030,TGA
GABRD,chr1,+,1950779,1962192,1950862,1961721,1961421,1962192,TGA
PRKCZ,chr1,+,1981908,2116834,1982069,2116448,2116360,2116834,TGA
AL590822.2,chr1,+,2121236,2123179,2121489,2122032,2121236,2123179,TGA
PLCH2,chr1,+,2407753,2436964,2408027,2436652,2435360,2436964,TGA
TNFRSF14,chr1,+,2487804,2495268,2488103,2494712,2494586,2495268,TGA
FAM213B,chr1,+,2518213,2522907,2518234,2520866,2520848,2522907,TGA
ACTRT2,chr1,+,2938045,2939465,2938250,2939384,2938045,2939465,TGA
PRDM16,chr1,+,2985741,3355183,2985823,3350375,3350297,3355183,TGA
TP73,chr1,+,3569083,3652765,3598929,3649643,3649310,3652765,TGA
DFFB,chr1,+,3773844,3801993,3774167,3800305,3800070,3801993,TGA
AJAP1,chr1,+,4715104,4852594,4715485,4834559,4842604,4852594,TGA
HES3,chr1,+,6304251,6305638,6304425,6305567,6305169,6305638,TGA
TAS1R1,chr1,+,6615240,6639817,6615433,6639644,6638712,6639817,TGA
PHF13,chr1,+,6673744,6684093,6674126,6681697,6681470,6684093,TGA
THAP3,chr1,+,6685251,6695646,6685278,6694148,6694079,6695646,TGA
CAMTA1,chr1,+,6845383,7829766,6845590,7826551,7826518,7829766,TGA
VAMP3,chr1,+,7831328,7841492,7831443,7839705,7839685,7841492,TGA
PER3,chr1,+,7844762,7905237,7844937,7902815,7902731,7905237,TGA
SLC45A1,chr1,+,8384389,8404227,8384389,8404073,8403806,8404227,TGA
CA6,chr1,+,9005941,9035151,9005945,9034763,9034680,9035151,TGA
H6PD,chr1,+,9294833,9331396,9304993,9324928,9323567,9331396,TGA
SPSB1,chr1,+,9352938,9429591,9415950,9427634,9427506,9429591,TGA
TMEM201,chr1,+,9648979,9674907,9648988,9673141,9673043,9674907,TGA
RBP7,chr1,+,10057273,10076078,10057316,10075890,10075839,10076078,TGA
PGD,chr1,+,10459136,10480201,10459174,10479806,10479686,10480201,TGA
FBXO44,chr1,+,11714913,11723384,11715892,11721330,11721186,11723384,TGA
FBXO6,chr1,+,11724180,11734411,11728715,11733908,11733671,11734411,TGA
C1orf167,chr1,+,11821843,11849641,11821843,11849503,11849326,11849641,TGA
CLCN6,chr1,+,11866267,11903201,11866319,11900280,11900199,11903201,TGA
MIIP,chr1,+,12079522,12092102,12081783,12091865,12091778,12092102,TGA
TNFRSF8,chr1,+,12123433,12204264,12123655,12202588,12202343,12204264,TGA
VPS13D,chr1,+,12290123,12572099,12294323,12569078,12568946,12572099,TGA
AADACL4,chr1,+,12704565,12727097,12704565,12726746,12725971,12727097,TGA
AADACL3,chr1,+,12776117,12788726,12776343,12785963,12785188,12788726,TGA
C1orf158,chr1,+,12806162,12823847,12806378,12820884,12820702,12823847,TGA
PRAMEF7,chr1,+,12977512,12980233,12977512,12980233,12979671,12980233,TGA
PRAMEF5,chr1,+,13359818,13369057,13364890,13368733,13368171,13369057,TGA
