name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,LastExonStart,LastExonEnd,Group
Xkr4,chr1,-,3214481,3671498,3216021,3671348,3,3214481,3216968,2
Rp1,chr1,-,4290845,4409241,4292980,4409187,4,4290845,4293012,2
Sox17,chr1,-,4491389,4497354,4491715,4495155,4,4491389,4492668,2
Mrpl15,chr1,-,4773210,4785739,4776463,4785677,5,4773210,4776801,2
Lypla1,chr1,+,4807822,4846739,4807913,4845016,9,4844962,4846739,2
Gm37988,chr1,+,4807891,4886770,4807913,4832316,10,4886743,4886770,3
Tcea1,chr1,+,4857813,4897905,4857913,4896364,10,4896355,4897905,2
Rgs20,chr1,-,4909575,5070285,4910473,5070177,6,4909575,4910662,2
Atp6v1h,chr1,+,5083079,5162529,5084450,5162165,14,5162104,5162529,2
Oprk1,chr1,+,5588492,5606131,5589048,5602784,4,5602251,5606131,2
Npbwr1,chr1,-,5913706,5917398,5916303,5917293,1,5913706,5917398,1
Rb1cc1,chr1,+,6214644,6276648,6230002,6274275,24,6274197,6276648,2
Fam150a,chr1,+,6359217,6394731,6359330,6391104,5,6394269,6394731,3
St18,chr1,+,6487230,6860934,6768897,6858600,24,6858459,6860934,2
Pcmtd1,chr1,+,7088919,7173628,7120308,7169882,6,7169514,7173628,2
Sntg1,chr1,-,8361474,9299238,8363474,8803943,21,8361474,8363633,2
Rrs1,chr1,+,9545407,9547455,9545523,9546621,1,9545407,9547455,1
Adhfe1,chr1,+,9547947,9577970,9548092,9576274,14,9576190,9577970,2
3110035E14Rik,chr1,+,9601198,9627143,9601583,9624896,6,9624712,9627143,2
Mybl1,chr1,-,9667414,9700209,9669883,9699954,16,9667414,9670012,2
Vcpip1,chr1,-,9718621,9748382,9724481,9748156,3,9718621,9725350,2
Sgk3,chr1,+,9798106,9900843,9865252,9898890,17,9898719,9900843,2
Mcmdc2,chr1,+,9908637,9940954,9911718,9940544,15,9940377,9940954,2
Tcf24,chr1,-,9960162,9967932,9963407,9967485,2,9960162,9963521,2
Ppp1r42,chr1,-,9968623,10009136,9968819,10003363,9,9968623,9968931,2
Cops5,chr1,-,10024600,10038127,10024978,10037812,8,10024600,10025063,2
Cspp1,chr1,+,10038216,10136768,10045085,10136145,30,10135933,10136768,2
Arfgef1,chr1,-,10137570,10232670,10138831,10232494,38,10137570,10138996,2
Cpa6,chr1,-,10324726,10719945,10325123,10719727,11,10324726,10325311,2
Prex2,chr1,+,10993464,11303681,10993792,11297753,40,11297707,11303681,2
A830018L16Rik,chr1,+,11414104,11975901,11414568,11974966,14,11974922,11975901,2
Sulf1,chr1,+,12692276,12861192,12786526,12858842,22,12858811,12861192,2
Slco5a1,chr1,-,12866551,12991135,12871867,12990495,9,12866551,12872328,2
Prdm14,chr1,-,13113456,13127163,13114259,13125835,8,13113456,13114487,2
Ncoa2,chr1,-,13139104,13372439,13142760,13224694,22,13139104,13142772,2
Tram1,chr1,-,13564697,13589910,13566322,13589722,11,13564697,13566396,2
Lactb2,chr1,-,13623329,13660546,13626860,13660450,7,13623329,13626904,2
Xkr9,chr1,+,13668770,13701723,13672492,13701383,4,13700754,13701723,2
Eya1,chr1,-,14168957,14310235,14170915,14302893,18,14168957,14170996,2
Msc,chr1,-,14753345,14755990,14754238,14755748,2,14753345,14754325,2
Trpa1,chr1,-,14872647,14918862,14873505,14918835,27,14872647,14873728,2
Kcnb2,chr1,+,15312451,15723750,15312451,15711629,2,15709484,15723750,2
Terf1,chr1,+,15805645,15844052,15805677,15843082,10,15842920,15844052,2
Sbspon,chr1,-,15853861,15892722,15855744,15892652,5,15853861,15855862,2
4930444P10Rik,chr1,-,16065978,16093325,16066125,16080956,5,16065978,16066274,2
Rpl7,chr1,-,16101294,16104662,16101727,16104378,7,16101294,16101359,3
Rdh10,chr1,+,16105773,16133734,16106017,16131417,6,16131293,16133734,2
Stau2,chr1,-,16228673,16519306,16229772,16486133,14,16228673,16229866,2
Ube2w,chr1,-,16540789,16619312,16541771,16619312,7,16540789,16541789,2
Tceb1,chr1,-,16641724,16656884,16643287,16647958,4,16641724,16643478,2
Tmem70,chr1,+,16665209,16678275,16665307,16677425,3,16676967,16678275,2
Ly96,chr1,+,16688432,16709611,16688507,16709537,5,16709438,16709611,2
Jph1,chr1,-,16994937,17097889,16997478,17097604,5,16994937,16997559,2
Gdap1,chr1,+,17145361,17164271,17145471,17161509,6,17161126,17164271,2
Pi15,chr1,+,17601900,17630939,17602578,17624970,6,17624834,17630939,2
Crispld1,chr1,+,17727087,17766344,17728656,17764114,15,17764062,17766344,2
Crisp4,chr1,-,18115203,18137051,18115628,18137050,7,18115203,18115756,2
Defb18,chr1,-,18236472,18237443,18236472,18237443,2,18236472,18236660,2
Defb41,chr1,-,18250979,18265138,18251199,18265080,2,18250979,18251333,2
Tfap2d,chr1,+,19103021,19166346,19103255,19166178,8,19165958,19166346,2
Tfap2b,chr1,+,19208913,19238576,19209167,19234347,7,19234049,19238576,2
Pkhd1,chr1,-,20057778,20618064,20058297,20615323,67,20057778,20058710,2
Il17a,chr1,+,20730904,20734496,20730961,20733859,3,20733621,20734496,2
Il17f,chr1,-,20777145,20784270,20777766,20784199,3,20777145,20778004,2
Mcm3,chr1,-,20802967,20820312,20803455,20820208,17,20802967,20803654,2
Paqr8,chr1,+,20890605,20939650,20934623,20935688,3,20934581,20939650,2
Efhc1,chr1,+,20951687,20990841,20951733,20990688,11,20990616,20990841,2
Tram2,chr1,-,20996298,21079229,21001561,21079113,11,20996298,21001635,2
Tmem14a,chr1,+,21218574,21230167,21225573,21229630,5,21229590,21230167,2
Gsta3,chr1,+,21240588,21265661,21249771,21264962,7,21264842,21265661,2
Khdc1a,chr1,+,21349640,21352200,21350019,21351093,3,21350875,21352200,2
Khdc1c,chr1,+,21368330,21370845,21368657,21369727,3,21369509,21370845,2
Khdc1b,chr1,+,21383555,21386373,21383936,21384899,3,21384801,21386373,2
